codi_indicador,any,codi_municipi,nom_municipi,valor_final
9.8,2022,8071,Copons,"0,00"
9.8,2022,8072,Corbera de Llobregat,"0,99"
9.8,2022,8073,Cornellà de Llobregat,"1,00"
9.8,2022,8074,Cubelles,"0,99"
9.8,2022,8075,Dosrius,"0,86"
9.8,2022,8076,Esparreguera,"0,99"
9.8,2022,8077,Esplugues de Llobregat,"1,00"
9.8,2022,8078,L'Espunyola,"0,00"
9.8,2022,8079,L'Estany,"0,00"
9.8,2022,8080,Fígols,"0,00"
9.8,2022,8081,Fogars de Montclús,"0,12"
9.8,2022,8082,Fogars de la Selva,"0,83"
9.8,2022,8083,Folgueroles,"0,99"
9.8,2022,8084,Fonollosa,"0,00"
9.8,2022,8085,Font-rubí,"0,88"
9.8,2022,8086,Les Franqueses del Vallès,"0,96"
9.8,2022,8087,Gallifa,"0,50"
9.8,2022,8088,La Garriga,"0,99"
9.8,2022,8089,Gavà,"0,99"
9.8,2022,8090,Gaià,"0,20"
9.8,2022,8091,Gelida,"0,95"
9.8,2022,8092,Gironella,"0,93"
9.8,2022,8093,Gisclareny,"0,00"
9.8,2022,8094,La Granada,"0,99"
9.8,2022,8095,Granera,"0,00"
9.8,2022,8096,Granollers,"1,00"
9.8,2022,8097,Gualba,"0,87"
9.8,2022,8098,Sant Salvador de Guardiola,"0,68"
9.8,2022,8099,Guardiola de Berguedà,"0,00"
9.8,2022,8100,Gurb,"0,75"
9.8,2022,8101,L'Hospitalet de Llobregat,"1,00"
9.8,2022,8102,Igualada,"0,99"
9.8,2022,8103,Jorba,"0,00"
9.8,2022,8104,La Llacuna,"0,77"
9.8,2022,8105,La Llagosta,"1,00"
9.8,2022,8106,Llinars del Vallès,"0,95"
9.8,2022,8107,Lliçà d'Amunt,"0,99"
9.8,2022,8108,Lliçà de Vall,"0,95"
9.8,2022,8109,Lluçà,"0,03"
9.8,2022,8110,Malgrat de Mar,"0,98"
9.8,2022,8111,Malla,"0,34"
9.8,2022,8112,Manlleu,"0,99"
9.8,2022,8113,Manresa,"1,00"
9.8,2022,8114,Martorell,"0,99"
9.8,2022,8115,Martorelles,"0,99"
9.8,2022,8116,Les Masies de Roda,"0,97"
9.8,2022,8117,Les Masies de Voltregà,"0,85"
9.8,2022,8118,El Masnou,"1,00"
9.8,2022,8119,Masquefa,"0,98"
9.8,2022,8120,Matadepera,"0,97"
