any,codi_municipi,valor_final
2022,08191,7.67
2022,08192,2.00
2022,08193,5.67
2022,08194,6.33
2022,08195,4.67
2022,08196,6.33
2022,08197,8.00
2022,08198,6.33
2022,08199,4.33
2022,08200,6.83
2022,08201,5.00
2022,08202,6.67
2022,08203,6.67
2022,08204,5.67
2022,08205,7.83
2022,08206,5.33
2022,08207,5.00
2022,08208,5.00
2022,08209,5.67
2022,08210,6.00
2022,08211,6.67
2022,08212,5.67
2022,08213,4.50
2022,08214,6.67
2022,08215,7.33
2022,08216,2.00
2022,08217,8.33
2022,08218,4.83
2022,08219,7.33
2022,08220,6.00
2022,08221,7.33
2022,08222,4.67
2022,08223,6.67
2022,08224,3.67
2022,08225,4.33
2022,08226,5.33
2022,08227,5.17
2022,08228,3.67
2022,08229,4.67
2022,08230,7.00
2022,08231,6.00
2022,08232,6.33
2022,08233,2.00
2022,08234,5.67
2022,08235,6.33
2022,08236,5.33
2022,08237,4.17
2022,08238,5.67
2022,08239,5.67
2022,08240,4.67
2022,08241,3.33
2022,08242,3.67
2022,08243,4.00
2022,08244,6.50
2022,08245,7.50
2022,08246,5.67
2022,08247,5.00
2022,08248,5.00
2022,08249,3.00
2022,08250,7.00
2022,08251,5.67
2022,08252,7.33
2022,08253,3.33
2022,08254,3.67
2022,08255,4.33
2022,08256,6.33
2022,08257,4.33
2022,08258,3.67
2022,08259,2.00
2022,08260,5.33
2022,08261,6.67
2022,08262,8.33
2022,08263,4.67
2022,08264,6.33
2022,08265,6.00
2022,08266,6.17
2022,08267,6.00
2022,08268,7.00
2022,08269,5.00
2022,08270,7.33
2022,08271,4.33
2022,08272,4.00
2022,08273,4.67
2022,08274,5.67
2022,08275,4.83
2022,08276,5.33
2022,08277,4.33
2022,08278,7.33
2022,08279,8.17
2022,08280,3.33
2022,08281,6.33
2022,08282,5.67
2022,08283,6.00
2022,08284,6.67
2022,08285,7.67
2022,08286,6.00
2022,08287,3.67
2022,08288,5.83
2022,08289,4.33
2022,08290,6.00
2022,08291,3.00
2022,08292,4.67
2022,08293,5.00
2022,08294,5.00
2022,08295,6.67
2022,08296,6.33
2022,08297,5.00
2022,08298,7.67
2022,08299,4.33
2022,08300,6.67
2022,08301,7.50
2022,08302,6.67
2022,08303,5.00
2022,08304,6.50
2022,08305,7.00
2022,08306,3.00
2022,08307,7.17
2022,08308,4.00
2022,08901,4.67
2022,08902,6.00
2022,08903,5.33
2022,08904,5.67
2022,08905,5.00
